0.8 0.8 0.4 1.2 0.4 0.2 0.0999999 0.3 
0.81 0.81 0.405 1.215 0.405 0.2025 0.10125 0.30375 
0.82 0.82 0.41 1.23 0.41 0.205 0.1025 0.3075 
0.83 0.83 0.415 1.245 0.415 0.2075 0.10375 0.31125 
0.839999 0.839999 0.42 1.26 0.42 0.21 0.105 0.315 
0.849999 0.849999 0.425 1.275 0.425 0.2125 0.10625 0.31875 
0.859999 0.859999 0.43 1.29 0.43 0.215 0.1075 0.3225 
0.869999 0.869999 0.435 1.305 0.435 0.2175 0.10875 0.32625 
0.879999 0.879999 0.44 1.32 0.44 0.22 0.11 0.33 
0.889999 0.889999 0.445 1.335 0.445 0.2225 0.11125 0.33375 
0.899999 0.899999 0.45 1.35 0.45 0.225 0.1125 0.3375 
0.909999 0.909999 0.455 1.365 0.455 0.2275 0.11375 0.34125 
0.919999 0.919999 0.46 1.38 0.46 0.23 0.115 0.345 
0.929999 0.929999 0.465 1.395 0.465 0.2325 0.11625 0.34875 
0.939999 0.939999 0.47 1.41 0.47 0.235 0.1175 0.3525 
0.949999 0.949999 0.475 1.425 0.475 0.2375 0.11875 0.35625 
0.959999 0.959999 0.48 1.44 0.48 0.24 0.12 0.36 
0.969999 0.969999 0.485 1.455 0.485 0.2425 0.12125 0.36375 
0.979999 0.979999 0.49 1.47 0.49 0.245 0.1225 0.3675 
0.989999 0.989999 0.495 1.485 0.495 0.2475 0.12375 0.37125 
0.999999 0.999999 0.5 1.5 0.5 0.25 0.125 0.375 
1.01 1.01 0.505 1.515 0.00999939 0.0049997 0.00249985 0.00749955 
1.02 1.02 0.51 1.53 0.0199994 0.00999969 0.00499985 0.0149995 
1.03 1.03 0.515 1.545 0.0299994 0.0149997 0.00749984 0.0224995 
1.04 1.04 0.52 1.56 0.0399994 0.0199997 0.00999984 0.0299995 
1.05 1.05 0.525 1.575 0.0499994 0.0249997 0.0124998 0.0374995 
1.06 1.06 0.53 1.59 0.0599993 0.0299997 0.0149998 0.0449995 
1.07 1.07 0.535 1.605 0.0699993 0.0349997 0.0174998 0.0524995 
1.08 1.08 0.54 1.62 0.0799993 0.0399997 0.0199998 0.0599995 
1.09 1.09 0.545 1.635 0.0899993 0.0449997 0.0224998 0.0674995 
1.1 1.1 0.55 1.65 0.0999993 0.0499997 0.0249998 0.0749995 
1.11 1.11 0.555 1.665 0.109999 0.0549996 0.0274998 0.0824995 
1.12 1.12 0.56 1.68 0.119999 0.0599996 0.0299998 0.0899995 
1.13 1.13 0.565 1.695 0.129999 0.0649996 0.0324998 0.0974995 
1.14 1.14 0.57 1.71 0.139999 0.0699996 0.0349998 0.104999 
1.15 1.15 0.575 1.725 0.149999 0.0749996 0.0374998 0.112499 
1.16 1.16 0.58 1.74 0.159999 0.0799996 0.0399998 0.119999 
1.17 1.17 0.585 1.755 0.169999 0.0849996 0.0424998 0.127499 
1.18 1.18 0.59 1.77 0.179999 0.0899996 0.0449998 0.134999 
1.19 1.19 0.595 1.785 0.189999 0.0949996 0.0474998 0.142499 
1.2 1.2 0.6 1.8 0.199999 0.0999996 0.0499998 0.149999 
1.21 1.21 0.605 1.815 0.209999 0.105 0.0524998 0.157499 
1.22 1.22 0.61 1.83 0.219999 0.11 0.0549998 0.164999 
1.23 1.23 0.615 1.845 0.229999 0.115 0.0574998 0.172499 
1.24 1.24 0.62 1.86 0.239999 0.12 0.0599998 0.179999 
1.25 1.25 0.625 1.875 0.249999 0.125 0.0624998 0.187499 
1.26 1.26 0.63 1.89 0.259999 0.13 0.0649998 0.194999 
1.27 1.27 0.635 1.905 0.269999 0.135 0.0674998 0.202499 
1.28 1.28 0.64 1.92 0.279999 0.14 0.0699998 0.209999 
1.29 1.29 0.645 1.935 0.289999 0.145 0.0724998 0.217499 
1.3 1.3 0.65 1.95 0.299999 0.15 0.0749998 0.224999 
1.31 1.31 0.655 1.965 0.309999 0.155 0.0774998 0.232499 
1.32 1.32 0.66 1.98 0.319999 0.16 0.0799998 0.239999 
1.33 1.33 0.665 1.995 0.329999 0.165 0.0824998 0.247499 
1.34 1.34 0.67 2.01 0.339999 0.17 0.0849998 0.254999 
1.35 1.35 0.675 2.025 0.349999 0.175 0.0874998 0.262499 
1.36 1.36 0.68 2.04 0.359999 0.18 0.0899998 0.269999 
1.37 1.37 0.685 2.055 0.369999 0.185 0.0924998 0.277499 
1.38 1.38 0.69 2.07 0.379999 0.19 0.0949998 0.284999 
1.39 1.39 0.695 2.085 0.389999 0.195 0.0974998 0.292499 
1.4 1.4 0.7 2.1 0.399999 0.2 0.0999998 0.299999 
1.41 1.41 0.705 2.115 0.409999 0.205 0.1025 0.307499 
1.42 1.42 0.71 2.13 0.419999 0.21 0.105 0.314999 
1.43 1.43 0.714999 2.145 0.429999 0.214999 0.1075 0.322499 
1.44 1.44 0.719999 2.16 0.439999 0.219999 0.11 0.329999 
1.45 1.45 0.724999 2.175 0.449999 0.224999 0.1125 0.337499 
1.46 1.46 0.729999 2.19 0.459999 0.229999 0.115 0.344999 
1.47 1.47 0.734999 2.205 0.469999 0.234999 0.1175 0.352499 
1.48 1.48 0.739999 2.22 0.479999 0.239999 0.12 0.359999 
1.49 1.49 0.744999 2.235 0.489999 0.244999 0.1225 0.367499 
1.5 1.5 0.749999 2.25 0.499999 0.249999 0.125 0.374999 
1.51 1.51 0.754999 2.265 0.509999 0.254999 0.1275 0.382499 
1.52 1.52 0.759999 2.28 0.519999 0.259999 0.13 0.389999 
1.53 1.53 0.764999 2.295 0.529999 0.264999 0.1325 0.397499 
1.54 1.54 0.769999 2.31 0.539999 0.269999 0.135 0.404999 
1.55 1.55 0.774999 2.325 0.549999 0.274999 0.1375 0.412499 
1.56 1.56 0.779999 2.34 0.559999 0.279999 0.14 0.419999 
1.57 1.57 0.784999 2.355 0.569999 0.284999 0.1425 0.427499 
1.58 1.58 0.789999 2.37 0.579999 0.289999 0.145 0.434999 
1.59 1.59 0.794999 2.385 0.589999 0.294999 0.1475 0.442499 
1.6 1.6 0.799999 2.4 0.599999 0.299999 0.15 0.449999 
1.61 1.61 0.804999 2.415 0.609999 0.304999 0.1525 0.457499 
1.62 1.62 0.809999 2.43 0.619999 0.309999 0.155 0.464999 
1.63 1.63 0.814999 2.445 0.629999 0.314999 0.1575 0.472499 
1.64 1.64 0.819999 2.46 0.639999 0.319999 0.16 0.479999 
1.65 1.65 0.824999 2.475 0.649999 0.324999 0.1625 0.487499 
1.66 1.66 0.829999 2.49 0.659999 0.329999 0.165 0.494999 
1.67 1.67 0.834999 2.505 0.669999 0.334999 0.1675 0.502499 
1.68 1.68 0.839999 2.52 0.679999 0.339999 0.17 0.509999 
1.69 1.69 0.844999 2.535 0.689999 0.344999 0.1725 0.517499 
1.7 1.7 0.849999 2.55 0.699999 0.349999 0.175 0.524999 
1.71 1.71 0.854999 2.565 0.709999 0.354999 0.1775 0.532499 
1.72 1.72 0.859999 2.58 0.719999 0.359999 0.18 0.539999 
1.73 1.73 0.864999 2.595 0.729999 0.364999 0.1825 0.547499 
1.74 1.74 0.869999 2.61 0.739999 0.369999 0.185 0.554999 
1.75 1.75 0.874999 2.625 0.749999 0.374999 0.1875 0.562499 
1.76 1.76 0.879999 2.64 0.759999 0.379999 0.19 0.569999 
1.77 1.77 0.884999 2.655 0.769999 0.384999 0.1925 0.577499 
1.78 1.78 0.889999 2.67 0.779999 0.389999 0.195 0.584999 
1.79 1.79 0.894999 2.685 0.789999 0.394999 0.1975 0.592499 
1.8 1.8 0.899999 2.7 0.799999 0.399999 0.2 0.599999 
1.81 1.81 0.904999 2.715 0.809999 0.404999 0.2025 0.607499 
1.82 1.82 0.909999 2.73 0.819999 0.409999 0.205 0.614999 
1.83 1.83 0.914999 2.745 0.829999 0.414999 0.2075 0.622499 
1.84 1.84 0.919999 2.76 0.839999 0.419999 0.21 0.629999 
1.85 1.85 0.924999 2.775 0.849999 0.424999 0.2125 0.637499 
1.86 1.86 0.929999 2.79 0.859999 0.429999 0.215 0.644999 
1.87 1.87 0.934999 2.805 0.869999 0.434999 0.2175 0.652499 
1.88 1.88 0.939999 2.82 0.879999 0.439999 0.22 0.659999 
1.89 1.89 0.944999 2.835 0.889999 0.444999 0.2225 0.667499 
1.9 1.9 0.949999 2.85 0.899999 0.449999 0.225 0.674999 
1.91 1.91 0.954999 2.865 0.909999 0.454999 0.2275 0.682499 
1.92 1.92 0.959999 2.88 0.919999 0.459999 0.23 0.689999 
1.93 1.93 0.964999 2.895 0.929999 0.464999 0.2325 0.697499 
1.94 1.94 0.969999 2.91 0.939999 0.469999 0.235 0.704999 
1.95 1.95 0.974999 2.925 0.949998 0.474999 0.2375 0.712499 
1.96 1.96 0.979999 2.94 0.959998 0.479999 0.24 0.719999 
1.97 1.97 0.984999 2.955 0.969998 0.484999 0.2425 0.727499 
1.98 1.98 0.989999 2.97 0.979998 0.489999 0.245 0.734999 
1.99 1.99 0.994999 2.985 0.989998 0.494999 0.2475 0.742499 
2 2 0.999999 3 0.999998 0.499999 0.25 0.749999 
2.01 2.01 1.005 3.015 1.01 0.504999 0.2525 0.757499 
2.02 2.02 1.01 3.03 1.02 0.509999 0.255 0.764999 
2.03 2.03 1.015 3.045 1.03 0.514999 0.2575 0.772499 
2.04 2.04 1.02 3.06 1.04 0.519999 0.26 0.779999 
2.05 2.05 1.025 3.075 1.05 0.524999 0.2625 0.787499 
2.06 2.06 1.03 3.09 1.06 0.529999 0.265 0.794999 
2.07 2.07 1.035 3.105 1.07 0.534999 0.2675 0.802499 
2.08 2.08 1.04 3.12 1.08 0.539999 0.27 0.809999 
2.09 2.09 1.045 3.135 1.09 0.544999 0.2725 0.817499 
2.1 2.1 1.05 3.15 1.1 0.549999 0.275 0.824999 
2.11 2.11 1.055 3.165 1.11 0.554999 0.2775 0.832499 
2.12 2.12 1.06 3.18 1.12 0.559999 0.28 0.839999 
2.13 2.13 1.065 3.195 1.13 0.564999 0.2825 0.847499 
2.14 2.14 1.07 3.21 1.14 0.569999 0.285 0.854999 
2.15 2.15 1.075 3.225 1.15 0.574999 0.2875 0.862499 
2.16 2.16 1.08 3.24 1.16 0.579999 0.29 0.869999 
2.17 2.17 1.085 3.255 1.17 0.584999 0.2925 0.877499 
2.18 2.18 1.09 3.27 1.18 0.589999 0.295 0.884999 
2.19 2.19 1.095 3.285 1.19 0.594999 0.2975 0.892499 
2.2 2.2 1.1 3.3 1.2 0.599999 0.3 0.899999 
2.21 2.21 1.105 3.315 1.21 0.604999 0.3025 0.907499 
2.22 2.22 1.11 3.33 1.22 0.609999 0.305 0.914999 
2.23 2.23 1.115 3.345 1.23 0.614999 0.3075 0.922499 
2.24 2.24 1.12 3.36 1.24 0.619999 0.31 0.929999 
2.25 2.25 1.125 3.375 1.25 0.624999 0.3125 0.937499 
2.26 2.26 1.13 3.39 1.26 0.629999 0.315 0.944999 
2.27 2.27 1.135 3.405 1.27 0.634999 0.3175 0.952499 
2.28 2.28 1.14 3.42 1.28 0.639999 0.32 0.959999 
2.29 2.29 1.145 3.435 1.29 0.644999 0.3225 0.967499 
2.3 2.3 1.15 3.45 1.3 0.649999 0.325 0.974999 
2.31 2.31 1.155 3.465 1.31 0.654999 0.3275 0.982499 
2.32 2.32 1.16 3.48 1.32 0.659999 0.33 0.989999 
2.33 2.33 1.165 3.495 1.33 0.664999 0.3325 0.997499 
2.34 2.34 1.17 3.51 1.34 0.669999 0.335 1.005 
2.35 2.35 1.175 3.525 1.35 0.674999 0.3375 1.0125 
2.36 2.36 1.18 3.54 1.36 0.679999 0.34 1.02 
2.37 2.37 1.185 3.555 1.37 0.684999 0.3425 1.0275 
2.38 2.38 1.19 3.57 1.38 0.689999 0.345 1.035 
2.39 2.39 1.195 3.585 1.39 0.694999 0.3475 1.0425 
